Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	Grad-00L.fastq	Grad-01.fastq	Grad-02.fastq	Grad-03.fastq	Grad-04.fastq	Grad-05.fastq	Grad-06.fastq	Grad-07.fastq	Grad-08.fastq	Grad-09.fastq	Grad-10.fastq	Grad-11.fastq	Grad-12.fastq	Grad-13.fastq	Grad-14.fastq	Grad-15.fastq	Grad-16.fastq	Grad-17.fastq	Grad-18.fastq	Grad-19.fastq	Grad-20.fastq	Grad-21P.fastq	gene	Name
sense	NC_000913.3	RefSeq	CDS	190	255	.	+	0	ID=cds0;Parent=gene0;Dbxref=ASAP:ABE-0000006,UniProtKB/Swiss-Prot:P0AD86,Genbank:NP_414542.1,EcoGene:EG11277,GeneID:944742;Name=NP_414542.1;Ontology_term=GO:0009088;gbkey=CDS;gene=thrL;go_process=threonine biosynthetic process|0009088||;product=thr operon leader peptide;protein_id=NP_414542.1;transl_table=11	132.0	27.0	64.0	141.0	286.0	230.0	354.0	386.0	205.0	487.0	662.0	717.0	570.0	371.0	270.0	278.0	220.0	209.0	225.0	219.0	224.0	321.0	thrL	NP_414542.1
sense	NC_000913.3	RefSeq	CDS	337	2799	.	+	0	ID=cds1;Parent=gene1;Dbxref=ASAP:ABE-0000008,UniProtKB/Swiss-Prot:P00561,Genbank:NP_414543.1,EcoGene:EG10998,GeneID:945803;Name=NP_414543.1;Note=bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal);Ontology_term=GO:0005737,GO:0009088,GO:0009086,GO:0009090;experiment=N-terminus verified by Edman degradation: PMID 354697%2C4562989;gbkey=CDS;gene=thrA;go_component=cytoplasm|0005737||;go_process=threonine biosynthetic process|0009088||,methionine biosynthetic process|0009086||,homoserine biosynthetic process|0009090||;product=Bifunctional aspartokinase/homoserine dehydrogenase 1;protein_id=NP_414543.1;transl_table=11	210.0	32.0	104.0	135.0	251.0	281.0	268.0	298.0	190.0	334.0	438.0	473.0	456.0	309.0	261.0	244.0	182.0	262.0	470.0	436.0	534.0	1400.0	thrA	NP_414543.1
sense	NC_000913.3	RefSeq	CDS	2801	3733	.	+	0	ID=cds2;Parent=gene2;Dbxref=ASAP:ABE-0000010,UniProtKB/Swiss-Prot:P00547,Genbank:NP_414544.1,EcoGene:EG10999,GeneID:947498;Name=NP_414544.1;Ontology_term=GO:0005737,GO:0009088;gbkey=CDS;gene=thrB;go_component=cytoplasm|0005737||;go_process=threonine biosynthetic process|0009088||;product=homoserine kinase;protein_id=NP_414544.1;transl_table=11	118.0	41.0	170.0	222.0	335.0	312.0	331.0	305.0	155.0	301.0	354.0	390.0	316.0	238.0	202.0	172.0	130.0	181.0	329.0	266.0	301.0	443.0	thrB	NP_414544.1
sense	NC_000913.3	RefSeq	CDS	3734	5020	.	+	0	ID=cds3;Parent=gene3;Dbxref=ASAP:ABE-0000012,UniProtKB/Swiss-Prot:P00934,Genbank:NP_414545.1,EcoGene:EG11000,GeneID:945198;Name=NP_414545.1;Ontology_term=GO:0005737,GO:0009088;experiment=N-terminus verified by Edman degradation: PMID 9298646%2C9600841%2C9740056;gbkey=CDS;gene=thrC;go_component=cytoplasm|0005737||;go_process=threonine biosynthetic process|0009088||;product=L-threonine synthase;protein_id=NP_414545.1;transl_table=11	124.0	35.0	120.0	137.0	211.0	187.0	170.0	187.0	109.0	138.0	168.0	216.0	180.0	126.0	124.0	144.0	120.0	181.0	289.0	319.0	382.0	953.0	thrC	NP_414545.1
sense	NC_000913.3	RefSeq	CDS	5234	5530	.	+	0	ID=cds4;Parent=gene4;Dbxref=ASAP:ABE-0000015,UniProtKB/Swiss-Prot:P75616,Genbank:NP_414546.1,EcoGene:EG14384,GeneID:944747;Name=NP_414546.1;gbkey=CDS;gene=yaaX;product=DUF2502 family putative periplasmic protein;protein_id=NP_414546.1;transl_table=11	15.0	7.0	21.0	21.0	26.0	20.0	23.0	15.0	7.0	9.0	18.0	17.0	11.0	6.0	3.0	7.0	3.0	2.0	7.0	8.0	17.0	18.0	yaaX	NP_414546.1
sense	NC_000913.3	RefSeq	CDS	5683	6459	.	-	0	ID=cds5;Parent=gene5;Dbxref=ASAP:ABE-0000018,UniProtKB/Swiss-Prot:P0A8I3,Genbank:NP_414547.1,EcoGene:EG10011,GeneID:944749;Name=NP_414547.1;gbkey=CDS;gene=yaaA;product=peroxide resistance protein%2C lowers intracellular iron;protein_id=NP_414547.1;transl_table=11	106.0	8.0	23.0	46.0	64.0	48.0	50.0	70.0	47.0	58.0	75.0	93.0	78.0	43.0	51.0	51.0	46.0	63.0	115.0	116.0	132.0	206.0	yaaA	NP_414547.1
sense	NC_000913.3	RefSeq	CDS	6529	7959	.	-	0	ID=cds6;Parent=gene6;Dbxref=ASAP:ABE-0000020,UniProtKB/Swiss-Prot:P30143,Genbank:NP_414548.1,EcoGene:EG11555,GeneID:944745;Name=NP_414548.1;Note=inner membrane transport protein;Ontology_term=GO:0009274,GO:0019866;gbkey=CDS;gene=yaaJ;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;product=putative transporter;protein_id=NP_414548.1;transl_table=11	79.0	5.0	16.0	29.0	42.0	58.0	54.0	64.0	32.0	55.0	77.0	95.0	61.0	49.0	33.0	37.0	29.0	69.0	114.0	141.0	134.0	78.0	yaaJ	NP_414548.1
sense	NC_000913.3	RefSeq	CDS	8238	9191	.	+	0	ID=cds7;Parent=gene7;Dbxref=ASAP:ABE-0000027,UniProtKB/Swiss-Prot:P0A870,Genbank:NP_414549.1,EcoGene:EG11556,GeneID:944748;Name=NP_414549.1;Ontology_term=GO:0005737,GO:0009052;gbkey=CDS;gene=talB;go_component=cytoplasm|0005737||;go_process=pentose-phosphate shunt%2C non-oxidative branch|0009052||;product=transaldolase B;protein_id=NP_414549.1;transl_table=11	1665.0	247.0	1187.0	1567.0	2721.0	2247.0	2098.0	2287.0	1191.0	1927.0	2363.0	2880.0	2772.0	1934.0	1773.0	1895.0	1726.0	2893.0	5510.0	6369.0	8552.0	22126.0	talB	NP_414549.1
sense	NC_000913.3	RefSeq	CDS	9306	9893	.	+	0	ID=cds8;Parent=gene8;Dbxref=ASAP:ABE-0000030,UniProtKB/Swiss-Prot:P0AF03,Genbank:NP_414550.1,EcoGene:EG11511,GeneID:944760;Name=NP_414550.1;Note=putative molybdochetalase in molybdopterine biosynthesis;Ontology_term=GO:0005737,GO:0006777;gbkey=CDS;gene=mog;go_component=cytoplasm|0005737||;go_process=Mo-molybdopterin cofactor biosynthetic process|0006777||;product=molybdochelatase incorporating molybdenum into molybdopterin;protein_id=NP_414550.1;transl_table=11	143.0	8.0	50.0	85.0	159.0	145.0	153.0	182.0	88.0	220.0	370.0	428.0	308.0	222.0	154.0	205.0	155.0	210.0	408.0	420.0	478.0	645.0	mog	NP_414550.1
sense	NC_000913.3	RefSeq	CDS	9928	10494	.	-	0	ID=cds9;Parent=gene9;Dbxref=ASAP:ABE-0000032,UniProtKB/Swiss-Prot:P0AC98,Genbank:NP_414551.1,EcoGene:EG11512,GeneID:944792;Name=NP_414551.1;gbkey=CDS;gene=satP;product=succinate-acetate transporter;protein_id=NP_414551.1;transl_table=11	18.0	5.0	9.0	7.0	15.0	18.0	16.0	14.0	7.0	13.0	6.0	15.0	18.0	4.0	5.0	5.0	6.0	3.0	7.0	9.0	4.0	14.0	satP	NP_414551.1
