Gene	Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	Grad-48-Fraction-01	Grad-48-Fraction-02	Grad-48-Fraction-03	Grad-48-Fraction-04	Grad-48-Fraction-05	Grad-48-Fraction-06	Grad-48-Fraction-07	Grad-48-Fraction-08	Grad-48-Fraction-09	Grad-48-Fraction-10	Grad-48-Fraction-11	Grad-48-Fraction-12	Grad-48-Fraction-13	Grad-48-Fraction-14	Grad-48-Fraction-15	Grad-48-Fraction-16	Grad-48-Fraction-17	Grad-48-Fraction-18	Grad-48-Fraction-19	Grad-48-Fraction-20	Grad-48-Fraction-21P	Cluster_label
thrL	sense	NC_000913.3	RefSeq	CDS	190	255	.	+	0	ID=cds0;Parent=gene0;Dbxref=ASAP:ABE-0000006,UniProtKB/Swiss-Prot:P0AD86,Genbank:NP_414542.1,EcoGene:EG11277,GeneID:944742;Name=NP_414542.1;Ontology_term=GO:0009088;gbkey=CDS;gene=thrL;go_process=threonine biosynthetic process|0009088||;product=thr operon leader peptide;protein_id=NP_414542.1;transl_table=11	0.001949358456558537	0.014117247707267931	0.10822933069597887	0.214815611420587	0.1775232047804361	0.41304387527698905	0.08535997313932937	0.01569061681585024	0.5495881449574399	0.7134877880027293	0.5468461086979713	0.3749721005398243	0.24268833412668706	0.17933462626997815	0.20179025846310525	0.2047395118619973	0.1409868959001345	0.11302367646083784	0.05538284720575272	0.0248782400060751	1.0	4
thrA	sense	NC_000913.3	RefSeq	CDS	337	2799	.	+	0	ID=cds1;Parent=gene1;Dbxref=ASAP:ABE-0000008,UniProtKB/Swiss-Prot:P00561,Genbank:NP_414543.1,EcoGene:EG10998,GeneID:945803;Name=NP_414543.1;Note=bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal);Ontology_term=GO:0005737,GO:0009088,GO:0009086,GO:0009090;experiment=N-terminus verified by Edman degradation: PMID 354697%2C4562989;gbkey=CDS;gene=thrA;go_component=cytoplasm|0005737||;go_process=threonine biosynthetic process|0009088||,methionine biosynthetic process|0009086||,homoserine biosynthetic process|0009090||;product=Bifunctional aspartokinase/homoserine dehydrogenase 1;protein_id=NP_414543.1;transl_table=11	0.0005108114812696249	0.005100543262547972	0.023759463250811762	0.043226545024395886	0.049729101224845085	0.0716976160256836	0.015109852536199056	0.003334392751215004	0.08642350157446023	0.10823797584981408	0.08271496834223856	0.06878059672759064	0.046345808959745785	0.039748238951124434	0.04060899332955872	0.03883536286364158	0.04052385481542415	0.05413295894490985	0.02528102336441073	0.013598465026790041	1.0	0
thrB	sense	NC_000913.3	RefSeq	CDS	2801	3733	.	+	0	ID=cds2;Parent=gene2;Dbxref=ASAP:ABE-0000010,UniProtKB/Swiss-Prot:P00547,Genbank:NP_414544.1,EcoGene:EG10999,GeneID:947498;Name=NP_414544.1;Ontology_term=GO:0005737,GO:0009088;gbkey=CDS;gene=thrB;go_component=cytoplasm|0005737||;go_process=threonine biosynthetic process|0009088||;product=homoserine kinase;protein_id=NP_414544.1;transl_table=11	0.002068325269813521	0.02634852614356697	0.12347531441104087	0.1823248731164882	0.1744950829833177	0.27984801107022833	0.048872900093603684	0.008596450362524129	0.24613659969098514	0.2764605215125591	0.21553206188281065	0.15063035123503085	0.11281146891514385	0.09721942844743688	0.09046595116898327	0.0876644759901616	0.08847332388665485	0.11975236967496992	0.0487432078038942	0.024223641845644375	1.0	3
thrC	sense	NC_000913.3	RefSeq	CDS	3734	5020	.	+	0	ID=cds3;Parent=gene3;Dbxref=ASAP:ABE-0000012,UniProtKB/Swiss-Prot:P00934,Genbank:NP_414545.1,EcoGene:EG11000,GeneID:945198;Name=NP_414545.1;Ontology_term=GO:0005737,GO:0009088;experiment=N-terminus verified by Edman degradation: PMID 9298646%2C9600841%2C9740056;gbkey=CDS;gene=thrC;go_component=cytoplasm|0005737||;go_process=threonine biosynthetic process|0009088||;product=L-threonine synthase;protein_id=NP_414545.1;transl_table=11	0.0008207555935929832	0.008645686376100364	0.03542081575924525	0.05338194504335875	0.04861620244242546	0.0668119239092289	0.013929024535648331	0.002810119477745676	0.0524565365727696	0.06098878312628775	0.05548963310851664	0.03988492106034692	0.02776244222978079	0.02774177243033777	0.03520708141347873	0.03761597823583008	0.04112663429358666	0.04889865193701977	0.02717277413321965	0.014290490303294762	1.0	0
yaaX	sense	NC_000913.3	RefSeq	CDS	5234	5530	.	+	0	ID=cds4;Parent=gene4;Dbxref=ASAP:ABE-0000015,UniProtKB/Swiss-Prot:P75616,Genbank:NP_414546.1,EcoGene:EG14384,GeneID:944747;Name=NP_414546.1;gbkey=CDS;gene=yaaX;product=DUF2502 family putative periplasmic protein;protein_id=NP_414546.1;transl_table=11	0.008690889785490147	0.08010468585411881	0.2874601726641424	0.3482616730606485	0.27528960741314	0.4785786144334602	0.05915490366520883	0.009554692678920186	0.1811270991081501	0.3459661328532871	0.23122107664379585	0.12904741588753604	0.06999367048936797	0.0355348240942364	0.09061205251131042	0.04978892674825844	0.024059964691091524	0.06270721012530929	0.03607893242627423	0.03367077274631741	1.0	4
yaaA	sense	NC_000913.3	RefSeq	CDS	5683	6459	.	-	0	ID=cds5;Parent=gene5;Dbxref=ASAP:ABE-0000018,UniProtKB/Swiss-Prot:P0A8I3,Genbank:NP_414547.1,EcoGene:EG10011,GeneID:944749;Name=NP_414547.1;gbkey=CDS;gene=yaaA;product=peroxide resistance protein%2C lowers intracellular iron;protein_id=NP_414547.1;transl_table=11	0.0008678835846814017	0.007666051766899026	0.05502011626581367	0.07490617015792889	0.05773063611770704	0.09090771485650363	0.02412141702853176	0.005605596398312398	0.10199390046866706	0.12595854351454627	0.11052657975491552	0.07995700437162429	0.04383098783072071	0.052784738703089036	0.05768506532966919	0.06670749408989964	0.06622330087305289	0.09001659151136633	0.0457116571031921	0.02284459053262427	1.0	0
yaaJ	sense	NC_000913.3	RefSeq	CDS	6529	7959	.	-	0	ID=cds6;Parent=gene6;Dbxref=ASAP:ABE-0000020,UniProtKB/Swiss-Prot:P30143,Genbank:NP_414548.1,EcoGene:EG11555,GeneID:944745;Name=NP_414548.1;Note=inner membrane transport protein;Ontology_term=GO:0009274,GO:0019866;gbkey=CDS;gene=yaaJ;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;product=putative transporter;protein_id=NP_414548.1;transl_table=11	0.0014325642503555185	0.014084340369954953	0.09160818689296846	0.12982535741314116	0.18423227573033216	0.2592967743753196	0.0582448282242056	0.01007967579314657	0.2554356525884168	0.34153066961157824	0.29818102644109395	0.16514459515677685	0.13191114822996267	0.09020378423921548	0.11052678932698304	0.11106760582303804	0.19155433427138246	0.2356688556357777	0.14674411938763454	0.06124728798198915	1.0	3
talB	sense	NC_000913.3	RefSeq	CDS	8238	9191	.	+	0	ID=cds7;Parent=gene7;Dbxref=ASAP:ABE-0000027,UniProtKB/Swiss-Prot:P0A870,Genbank:NP_414549.1,EcoGene:EG11556,GeneID:944748;Name=NP_414549.1;Ontology_term=GO:0005737,GO:0009052;gbkey=CDS;gene=talB;go_component=cytoplasm|0005737||;go_process=pentose-phosphate shunt%2C non-oxidative branch|0009052||;product=transaldolase B;protein_id=NP_414549.1;transl_table=11	0.00024947828660715383	0.003683485315614689	0.01745006226280825	0.02965039428581142	0.02516126607030612	0.035514077075298384	0.007337282727054107	0.0013225132788231748	0.03154948205562734	0.03694829485367068	0.03186695613149921	0.026455711762897204	0.018354120771007548	0.017084853055883895	0.019955689564706027	0.02330353997129912	0.028312813010121576	0.040155092910913966	0.023367084940866683	0.013779753586350682	1.0	0
mog	sense	NC_000913.3	RefSeq	CDS	9306	9893	.	+	0	ID=cds8;Parent=gene8;Dbxref=ASAP:ABE-0000030,UniProtKB/Swiss-Prot:P0AF03,Genbank:NP_414550.1,EcoGene:EG11511,GeneID:944760;Name=NP_414550.1;Note=putative molybdochetalase in molybdopterine biosynthesis;Ontology_term=GO:0005737,GO:0006777;gbkey=CDS;gene=mog;go_component=cytoplasm|0005737||;go_process=Mo-molybdopterin cofactor biosynthetic process|0006777||;product=molybdochelatase incorporating molybdenum into molybdopterin;protein_id=NP_414550.1;transl_table=11	0.0002771845247199514	0.005322570488645766	0.03247058428764398	0.05943499751339153	0.055698129871960884	0.08884432114255135	0.020030125520126518	0.0033520782288836252	0.12355957148462952	0.19846119248948246	0.16245573866518948	0.10083705055398164	0.07227253417971947	0.05090570149313866	0.07405503294944307	0.07178868507888424	0.07050129188552401	0.10199817301445656	0.05285983122919246	0.026420732212431828	1.0	0
satP	sense	NC_000913.3	RefSeq	CDS	9928	10494	.	-	0	ID=cds9;Parent=gene9;Dbxref=ASAP:ABE-0000032,UniProtKB/Swiss-Prot:P0AC98,Genbank:NP_414551.1,EcoGene:EG11512,GeneID:944792;Name=NP_414551.1;gbkey=CDS;gene=satP;product=succinate-acetate transporter;protein_id=NP_414551.1;transl_table=11	0.00798142939483789	0.0441393166951267	0.12319721685606105	0.25832596628125026	0.3185494028637764	0.42804546881005145	0.07098588439825061	0.012284604872897384	0.33637889834370743	0.14827119979426595	0.26230962476397	0.2715023555036474	0.05999457470517256	0.0761460516305066	0.08321515026548919	0.128028668781236	0.04640136047567653	0.08062355587539767	0.0521855986880038	0.010186116124936364	1.0	4
